"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header"
"Inverter MG2 Temp","Inv2t","2171","A - 40","15","150","C","7E2"
"Inverter MG2 Temp after IG-ON","Inv2t Ign","2171","B - 40","15","150","C","7E2"
"Inverter MG2 Temp Max","Inv2t max","2171","C - 40","15","150","C","7E2"
"MG2 Gate Status","MG2 Gate","2171","{D:7}","0","1","Off/On","7E2"
"Boost converter temperature (upper)","BC U","2174","A - 40","15","150","C","7E2"
"Boost converter temperature (lower)","BC L","2174","B - 40","15","150","C","7E2"
"Boost converter temperature after IG-ON","BC Ign","2174","C - 40","15","150","C","7E2"
"Boost converter temperature Max","BC max","2174","D - 40","15","150","C","7E2"
"Converter Gate Status","Cnv Gate","2174","{E:7}","0","1","Off/On","7E2"
"Overvoltage Input to Converter","O/V I/P Cnv","2174","{E:6}","0","1","Off/On","7E2"
"Overvoltage Input to Inverter","O/V I/P Inv","2174","{E:5}","0","1","Off/On","7E2"
"VL-Voltage before Boosting","VLB","2174","(F * 256 + G) / 2","0","300","V","7E2"
"VH-Voltage after Boosting","VHB","2174","(H * 256 + I) / 2","0","765","V","7E2"
"Prohibit DC/DC converter signal","P DCDC","2175","{A:6}","0","1","Off/On","7E2"
"Aircon Gate Status","A/C Gate","2175","{A:5}","0","1","Off/On","7E2"
"Water Pump Running","WP run","2175","{A:4}","0","1","Off/On","7E2"
"Inverter Water Pump Revolution","Inv WP","2175","B * 256 + C","0","5000","RPM","7E2"
"Inverter Coolant Temp","Inv Coolant","2175","D - 40","15","150","C","7E2"
"MG1 Inverter Shutdown","Inv1 S/D","2178 ","{A:7}","0","1","Off/On","7E2"
"MG1 Inverter Fail","Inv1 fail","2178 ","{A:6}","0","1","Off/On","7E2"
"MG2 Inverter Shutdown","Inv2 S/D","2178 ","{B:7}","0","1","Off/On","7E2"
"MG2 Inverter Fail","Inv2 fail","2178 ","{B:6}","0","1","Off/On","7E2"
"DCDC Cnv Target Pulse Duty","DCTPD","2179","(A * 256 + B) * 399.9 / 65535","0","100","%","7E2"
"Water Pump Run Control Duty","WP Duty","2179","C * 6.25","0","100","%","7E2"
"Converter Shutdown","Cnv S/D","2179","{D:7}","0","1","Off/On","7E2"
"Converter Fail","Cnv fail","2179","{D:6}","0","1","Off/On","7E2"
"MG1 Carrier Frequency","MG1 CF","217C","A / 20","0.75","10","kHz","7E2"
"MG2 Carrier Frequency","MG2 CF","217C","B / 20","0.75","10","kHz","7E2"
"Boost Ratio","B Ratio","217D","A / 2","0","100","%","7E2"
"Converter Carrier Frequency (9.55kHz=0,9.13kHz=1,8.71kHz=2,8.29kHz=3,7.87kHz=4,7.45kHz=5,4.8kHz=6)","Cnv CF","217D","B","0","6","Number","7E2"
"A/C consumption power","A/C pwr","217D","C * 50","0","12750","Watts","7E2"
"Battery Block Voltage -V01","V01","2181","(A * 256 + B) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V02","V02","2181","(C * 256 + D) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V03","V03","2181","(E * 256 + F) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V04","V04","2181","(G * 256 + H) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V05","V05","2181","(I * 256 + J) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V06","V06","2181","(K * 256 + L) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V07","V07","2181","(M * 256 + N) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V08","V08","2181","(O * 256 + P) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V09","V09","2181","(Q * 256 + R) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V10","V10","2181","(S * 256 + T) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V11","V11","2181","(U * 256 + V) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V12","V12","2181","(W * 256 + X) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V13","V13","2181","(Y * 256 + Z) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V14","V14","2181","(AA * 256 + AB) * 79.99 / 65535","12","20","V","7E2"
"Auxiliary Battery Voltage","Aux Bty","2181","(AC * 256 + AD) * 79.9 / 65535 - 40","0","16","V","7E2"
"Power Resource VB","VB","2181","(AE * 256 + AF) / 10","150","300","V","7E2"
"VMF Fan Motor Voltage1","VMF","2181","AG / 10","0","16","V","7E2"
"HV battery intake air temperature","TB Intake","2187","(A * 256 + B) * 255.9 / 65535 - 50","-50","60","C","7E2"
"Temp of Batt TB1","TB 1","2187","(C * 256 + D) * 255.9 / 65535 - 50","-50","60","C","7E2"
"Temp of Batt TB2","TB 2","2187","(E * 256 + F) * 255.9 / 65535 - 50","-50","60","C","7E2"
"Temp of Batt TB3","TB 3","2187","(G * 256 + H) * 255.9 / 65535 - 50","-50","60","C","7E2"
"Power Resource IB","IB","218A","(A * 256 + B) / 100 - 327.68","-200","200","Amperes","7E2"
"Cooling Fan 0","C Fan 0","218E","A / 2","0","100","%","7E2"
"Cooling Fan Relay Status","C Fan Rly","218E","{B:7}","0","1","Off/On","7E2"
"Battery block minimum voltage","Vmin","2192","(A * 256 + B) * 79.99 / 65535","12","20","V","7E2"
"Battery block number with minimum voltage","Blk# min","2192","C","1","14","Number","7E2"
"Battery block maximum voltage","Vmax","2192","(D * 256 + E) * 79.99 / 65535","12","20","V","7E2"
"Battery block number with maximum voltage","Blk# max","2192","F","1","14","Number","7E2"
"Difference between maximum & minimum voltage","Vmax-Vmin","2192","((D - A) * 256 + E - B) * 79.99 / 65535","0","2","V","7E2"
"Number of battery blocks","#Bty Blk","2192","G","14","14","Number","7E2"
"Accumulated Time of Battery Low","Low count","2192","H * 256 + I","0","65535","Number","7E2"
"Accumulated Time of DC Inhibit","DCI count","2192","J * 256 + K","0","65535","Number","7E2"
"Accumulated Time of Battery too High","High count","2192","L * 256 + M","0","65535","Number","7E2"
"Accumulated Time of Hot Temperature","Hot count","2192","N * 256 + O","0","65535","Number","7E2"
"Internal Resistance R01","R01","2195","A / 1000","0","0.255","ohm","7E2"
"Internal Resistance R02","R02","2195","B / 1000","0","0.255","ohm","7E2"
"Internal Resistance R03","R03","2195","C / 1000","0","0.255","ohm","7E2"
"Internal Resistance R04","R04","2195","D / 1000","0","0.255","ohm","7E2"
"Internal Resistance R05","R05","2195","E / 1000","0","0.255","ohm","7E2"
"Internal Resistance R06","R06","2195","F / 1000","0","0.255","ohm","7E2"
"Internal Resistance R07","R07","2195","G / 1000","0","0.255","ohm","7E2"
"Internal Resistance R08","R08","2195","H / 1000","0","0.255","ohm","7E2"
"Internal Resistance R09","R09","2195","I / 1000","0","0.255","ohm","7E2"
"Internal Resistance R10","R10","2195","J / 1000","0","0.255","ohm","7E2"
"Internal Resistance R11","R11","2195","K / 1000","0","0.255","ohm","7E2"
"Internal Resistance R12","R12","2195","L / 1000","0","0.255","ohm","7E2"
"Internal Resistance R13","R13","2195","M / 1000","0","0.255","ohm","7E2"
"Internal Resistance R14","R14","2195","N / 1000","0","0.255","ohm","7E2"
"Batt Pack Current Val","Bty Curr","2198","(A * 256 + B) / 100 - 327.68","-200","200","Amperes","7E2"
"HV battery discharge control","Dischg ctrl","2198","C / 2 - 64","-40","0","kW","7E2"
"HV battery charge control","Chg ctrl","2198","D / 2 - 64","0","40","kW","7E2"
"Delta SOC","Delta SOC","2198","E / 2","0","100","%","7E2"
"SOC after IG-ON","SOC ig-on","2198","F / 2","0","100","%","7E2"
"SOC Max","SOC max","2198","G / 2","0","100","%","7E2"
"SOC Min","SOC min","2198","H / 2","0","100","%","7E2"
"ECU Control Mode (Driving control mode=1,Current sensor offset mode=2,External charge control mode=3,Power supply end mode=4)","ECU mode","219B","A","1","4","Number","7E2"
"Cooling Fan Mode1","Fan Mode","219B","B","0","6","Number","7E2"
"Standby Blower Request Status","SBRS","219B","{C:7}","0","1","Off/On","7E2"
"Short Circuit Wave Highest Value","S/C Wave Hi","219B","D * 4.98 / 255","0","4.98","V","7E2"
"Model Code (ZVW3##)","Model Code","21C1","ABCDEFG","0","0","Number","7E2"
"Engine Code (P410)","Eng Code","21C1","HIJKLM","0","0","Number","7E2"
"Destination (America=A=65)","Dest","21C1","P","0","0","Number","7E2"
"ECU Code","ECU Code","21C2","ABCDE","0","0","Number","7E2"
"Number of Current Code","#Curr Code","21E1","A","0","255","Number","7E2"
"Number of History Code","#Hist Code","21E1","B","0","255","Number","7E2"
"Disable Traction Control","TRAC Dis","30610040","A","0","0","No reply req'd","7E2"
"Set Battery Cooling Fan Speed 0 (Off)","SFS0","30810600","A","0","0","No reply req'd","7E2"
"Set Battery Cooling Fan Speed 1","SFS1","30810601","A","0","0","No reply req'd","7E2"
"Set Battery Cooling Fan Speed 2","SFS2","30810602","A","0","0","No reply req'd","7E2"
"Set Battery Cooling Fan Speed 3","SFS3","30810603","A","0","0","No reply req'd","7E2"
"Set Battery Cooling Fan Speed 4","SFS4","30810604","A","0","0","No reply req'd","7E2"
"Set Battery Cooling Fan Speed 5","SFS5","30810605","A","0","0","No reply req'd","7E2"
"Set Battery Cooling Fan Speed 6 (max.)","SFS6","30810606","A","0","0","No reply req'd","7E2"
